Gene.refGene	OMIM_GeneName	OMIM_Comments	OMIM_Phenotypes
TACR1, TAC1R, NK1R	Tachykinin receptor 1 (substance P receptor; neurokinin-1 receptor)		
MRPL19, MRPL15, KIAA0104	Mitochondrial ribosomal protein L19		
C2orf3, TCF9, GCF	GC factor		
LRRTM4	Leucine-rich repeat transmembrane protein 4		
REG3G, PAP1B	Regenerating islet-derived 3-gamma		
REGL, PSPS2	Regenerating islet-derived, rat, homolog-like (pancreatic stone protein-like; pancreatic thread protein-like)		
REG1A, PSPS1, REG	Regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)		
PAP	Pancreatitis-associated protein		
CTNNA2, CAPR, CTNR, CDCBM9	Catenin, alpha-2 (cadherin-associated protein, related)		Cortical dysplasia, complex, with other brain malformations 9, 618174 (3), Autosomal recessive
LRRTM1	Leucine-rich repeat transmembrane protein 1		
SUCLG1, SUCLA1, MTDPS9	Succinate-CoA ligase, alpha subunit		Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria), 245400 (3), Autosomal recessive
DNAH6, HL2	Dynein, axonemal, heavy chain 6		
TRABD2A, TIKI1	TRAB domain-containing protein 2A		
TMSB10	Thymosin, beta-10		
KCMF1, DEBT91, FIGC	Potassium channel modulatory factor 1		
TCF7L1	Transcription factor 7-like 1		
TGOLN2, TGN46, TGN38	Trans-golgi network protein 2, 46kD		
RETSAT	Retinol saturase		
ELMOD3, RBED1, DFNB88	ELMO/CED12 domain-containing protein 3	one family identified with mutation	?Deafness, autosomal recessive 88, 615429 (3), Autosomal recessive
CAPG	Capping protein (actin filament), gelsolin-like		
PARTICL	Promoter of MAT2A antisense radiation-induced circulating long noncoding RNA	overlaps promoter of MAT2A on opposite strand	
MAT2A, MATA2, SAMS2	Methionine adenosyltransferase II, alpha		
GGCX, VKCFD1	Gamma-glutamyl carboxylase		Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency, 610842 (3); Vitamin K-dependent clotting factors, combined deficiency of, 1, 277450 (3), Autosomal recessive
VAMP8	Vesicle-associated membrane protein 8		
VAMP5	Vesicle-associated membrane protein 5 (myobrevin)		
RNF181	Ring finger protein 181		
TMEM150A, TMEM150	Transmembrane protein 150A		
USP39, SAD1	Ubiquitin-specific protease 39		
C2orf68, HCRCN81	Chromosome 2 open reading frame 68		
SFTPB, SFTB3, SMDP1	Pulmonary surfactant-associated protein B, 18kD		Surfactant metabolism dysfunction, pulmonary, 1, 265120 (3), Autosomal recessive
GNLY, D2S69E, TLA519	Granulysin (T-lymphocyte activation gene 519)		
SIAT9, ST3GALV, SPDRS	Sialyltransferase 9		Salt and pepper developmental regression syndrome, 609056 (3), Autosomal recessive
POLR1A, RPA194, AFDCIN	Polymerase I, RNA, subunit A		Acrofacial dysostosis, Cincinnati type, 616462 (3), Autosomal dominant
PTCD3	Pentatricopeptide repeat domain-containing protein 3		
IMMT, HMP	Inner membrane protein, mitochondrial (mitofilin)	pseudogene on chr.21	
MRPL35	Mitochondrial ribosomal protein L35	pseudogenes on 6, 10, and X	
REEP1, C2orf23, SPG31, HMN5B	Receptor expression-enhancing protein 1	mutation identified in 1 HMN5B family	?Neuronopathy, distal hereditary motor, type VB, 614751 (3), Autosomal dominant; Spastic paraplegia 31, autosomal dominant, 610250 (3), Autosomal dominant
KDM3A, JMJD1A, JHDM2A, TSGA, KIAA0742	Lysine-specific demethylase 3A		
VPS24, CHMP3, NEDF	Vacuolar protein sorting 24, yeast, homolog of		
ZFP103, KF1	Zinc finger protein 103, mouse, homolog of		
CD8A	CD8 antigen, alpha polypeptide  (p32)	distal to IGK	CD8 deficiency, familial, 608957 (3), Autosomal recessive
CD8B1, CD8B	CD8 antigen, beta polypeptide 1 (p37)	pseudogene, CD8B2, on 2q12	
RGPD1, RGP1	RANBP2-like and GRIP domain-containing protein 1		
PLGLB1, PLGL, PRGB	Plasminogen-like B1		
RGPD2, RGP2	RANBP2-like and GRIP domain-containing protein 2		
SMYD1, BOP, ZMYND18	SET and MYND domain-containing protein 1		
FABP1	Fatty acid-binding protein, liver		
THNSL2, THS2	Threonine synthase-like 2		
FOXI3	Forkhead box I3		
EIF2AK3, PEK, PERK, WRS	Eukaryotic translation initiation factor 2-alpha kinase 3		Wolcott-Rallison syndrome, 226980 (3), Autosomal recessive
RPIA, RPI, RPIAD	Ribose 5-phosphate isomerase A		Ribose 5-phosphate isomerase deficiency, 608611 (3), Autosomal recessive
IGKDEL	Immunoglobulin kappa polypeptide deleting element		
IGKC, IGKCD	Immunoglobulin kappa constant region		Kappa light chain deficiency, 614102 (3), Autosomal recessive
CELIAC8	Celiac disease, susceptibility to, 8	associated with rs917997 and rs13015714	{Celiac disease, susceptibility to, 8}, 612006 (2)
COPD	Pulmonary disease, chronic obstructive, severe early-onset	?SERPINE2	Pulmonary disease, chronic obstructive, severe early-onset, 606963 (2)
GLC1B	Glaucoma 1, open angle, B (adult-onset)		Glaucoma 1B, primary open angle, adult onset, 606689 (2)
NNO3	Nanophthalmos 3	max lod at D2S2265	Nanophthalmos 3, 611897 (2)
MAL	T-lymphocyte maturation-associated protein		
MRPS5	Mitochondrial ribosomal protein S5		
ZNF2	Zinc finger protein-2		
PROM2, PROML2	Prominin 2		
KCNIP3, KCHIP3, CSEN, DREAM	Potassium channel-interacting protein 3		
GPAT2	Glycerol-3-phosphate acyltransferase 2, mitochondrial		
ADRA2B, ADRA2L1, FAME2	Adrenergic, alpha-2B-, receptor		Epilepsy, myoclonic, familial adult, 2, 607876 (3), Autosomal dominant
DUSP2, PAC1	Dual-specificity phosphatase-2		
STARD7, GTT1	START domain-containing protein 4		
TMEM127	Transmembrane protein 127		{Pheochromocytoma, susceptibility to}, 171300 (3), Autosomal dominant
CIAO1, WDR39	WD repeat-containing protein CIAO1		
SNRNP200, ASCC3L1, KIAA0788, RP33	Small nuclear ribonucleoprotein 200kD (U5)		Retinitis pigmentosa 33, 610359 (3), Autosomal dominant
NCAPH, CAPH, BRRN1, MCPH23	Non-SMC condensin I complex subunit H	mutation identified in 1 MCPH23 patient	?Microcephaly 23, primary, autosomal recessive, 617985 (3), Autosomal recessive
NEURL3, LINCR	Neuralized E3 ubiquitin protein ligase 3		
ARID5A, MRF1	AT-rich interactive domain-containing protein 5A		
KANSL3, NSL3, KIAA1310	Kat8 regulatory NSL complex, subunit 3		
LMAN2L, VIPL, MRT52	LMAN2-like protein	mutation identified in 1 MRT52 family	?Mental retardation, autosomal recessive, 52, 616887 (3), Autosomal recessive
CNNM4, ACDP4	Cyclin M4		Jalili syndrome, 217080 (3), Autosomal recessive
CNNM3, ACDP3	Cyclin M3	previously assigned to 2p12-p11.2	
ANKRD23, DARP	Ankyrin repeat domain-containing protein 23		
SEMA4C, SEMAF, KIAA1739	Semaphorin 4C		
COX5B	Cytochrome c oxidase, subunit Vb	7 pseudogenes on 4, 6, 7, 11, 12, 13, and 22	
ACTR1B, ARP1B, CTRN2	Actin-related protein 1B		
ZAP70, SRK, ADMIO2, IMD48	Zeta-chain associated protein kinase, 70kD (syk-related tyrosine kinase)		Autoimmune disease, multisystem, infantile-onset, 2, 617006 (3), Autosomal recessive; Immunodeficiency 48, 269840 (3), Autosomal recessive
TMEM131, KIAA0257, CC28	Transmembrane protein 131		
VWA3B, SCAR22	von Willebrand factor A domain-containing protein 3B	mutation identified in 1 SCAR22 family	?Spinocerebellar ataxia, autosomal recessive 22, 616948 (3), Autosomal recessive
CNGA3, CNG3, ACHM2	Cyclic nucleotide-gated channel, alpha-3		Achromatopsia 2, 216900 (3), Autosomal recessive
INPP4A, INPP4	Inositol polyphosphate-4-phosphatase, type I, 107kD		
COA5, C2orf64, PET191, CEMCOX3	Cytochrome c oxidase assembly factor 5	mutation identified in 1 CEMCOX3 family	?Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3, 616500 (3), Autosomal recessive
UNC50, UNCL, GMH1	Unc50 inner nuclear membrane RNA-binding protein		
MGAT4A	Alpha-1,3-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A		
TSGA10, SPGF26	Testis-specific protein 10	mutation identified in 1 SPGF26	?Spermatogenic failure 26, 617961 (3), Autosomal recessive
LIPT1, LIPT1D	Lipoyltransferase 1		Lipoyltransferase 1 deficiency, 616299 (3), Autosomal recessive
MRPL30, MRPL28	Mitochondrial ribosomal protein L30		
LYG2, LYSG2	Lysozyme G-like 2		
TXNDC9, PHLP3	Thioredoxin domain-containing protein 9		
REV1L, REV1	Rev1, S. cerevisiae, homolog of		
LAF4	Lymphoid nuclear protein related to AF4		
CHST10, HNK1ST	Carbohydrate sulfotransferase 10		
PDCL3, PHLP3, VIAF	Phosducin-like 3		
NPAS2, MOP4	Neuronal PAS domain protein 2		
RPL31	Ribosomal protein L31		
CREG2	Cellular repressor of E1A-stimulated genes 2		
MAP4K4, HGK, NIK, KIAA0687	Mitogen-activated protein kinase kinase kinase kinase 4		
IL1R2, IL1RB	Interleukin-1 receptor, type II		
IL1R1, IL1RA	Interleukin-1 receptor, type I		
IGKV1OR2-108, IGO1	Immunoglobulin orphon (transposed element) 1		
LNC13	Long noncoding RNA 13		
IL1RL2, IL1RRP2	Interleukin 1 receptor-like 2		
IL1RL1	Interleukin 1 receptor-like 1		
IL18R1, IL1RRP	Interleukin 18 receptor 1		
IL18RAP, ACPL	Interleukin 18 receptor accessory protein		
SLC9A4, NHE4	Solute carrier family 9 (sodium/hydrogen exchanger), member 4		
SLC9A2	Solute carrier family 9 (sodium/hydrogen exchanger), member 2		
PANTR1, LINC01158	POU3F3-adjacent noncoding transcript 1		
POU3F3	POU domain, class 3, transcription factor-3	previously mapped to 3p14.2	
LINC01159, LINC-BRN1B	Long intergenic noncoding RNA 1159		
MRPS9	Mitochondrial ribosomal protein S9		
GPR45	G protein-coupled receptor 45		
TGFBRAP1, TRAP1	Transforming growth factor-beta receptor-associated protein 1		
FHL2, DRAL	Four and a half LIM domains-2 (Down-regulated in rhabdomyosarcoma LIM protein)		
NCK2	NCK adaptor protein 2		
C2orf40, ECRG4	Esophageal cancer-related gene 4		
UXS1, UGD	UDP-glucuronate decarboxylase 1		
PLGLA, PRGA	Plasminogen-like A		
RGPD3, RGP3	RANBP2-like and GRIP domain-containing protein 3		
RGPD7, RGP7	RANBP2-like and GRIP domain-containing protein 7		
ST6GALII, KIAA1877	Beta-galactoside alpha-2,6-sialyltransferase II		
RGPD4, RGP4	RANBP2-like and GRIP domain-containing protein 4		
SLC5A7, CHT1, HMN7A, CMS20	Solute carrier family 5 (choline transporter), member 7		Myasthenic syndrome, congenital, 20, presynaptic, 617143 (3), Autosomal recessive; Neuronopathy, distal hereditary motor, type VIIA, 158580 (3), Autosomal dominant
SULT1C3	Sulfotransferase family 1C, member 3		
SULT1C1	Sulfotransferase 1C1		
SULT1C2	Sulfotransferase family 1C, member 2		
GCC2, GCC185, KIAA0336	GRIP and coiled-coil domains-containing protein 2		
LIMS1, PINCH1	LIM and senescent cell antigen-like domains 1		
COMA	Cogan-type congenital oculomotor apraxia	independent gene or feature of nephronophthisis	Oculomotor apraxia, congenital, Cogan-type, 257550 (2), Autosomal recessive
RANBP2, NUP358, ANE1, IIAE3	RAN-binding protein 2		{Encephalopathy, acute, infection-induced, 3, susceptibility to}, 608033 (3), Autosomal dominant
EDAR, DL, ED3, EDA3, HRM1, ECTD10A, ECTD10B	Ectodysplasin 1, anhidrotic receptor (downless, mouse, homolog of)		Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant, 129490 (3), Autosomal dominant; Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive, 224900 (3), Autosomal recessive; [Hair morphology 1, hair thickness], 612630 (3)
SEPT10	Septin 10	pseudogene on 8q22.1-q12	
RGPD5, RGP5, BS63	RANBP2-like and GRIP domain-containing protein 5		
MALL, BENE	mal, T-cell differentiation protein-like		
NPHP1, NPH1, SLSN1, JBTS4	Nephrocystin		Joubert syndrome 4, 609583 (3), Autosomal recessive; Nephronophthisis 1, juvenile, 256100 (3), Autosomal recessive; Senior-Loken syndrome-1, 266900 (3), Autosomal recessive
RGPD6, RGP6	RANBP2-like and GRIP domain-containing protein 6		
BUB1	BUB1 mitotic checkpoint serine/threonine kinase		Colorectal cancer with chromosomal instability, somatic, 114500 (3)
BCL2L11, BIM	BCL2-like 11		
MIR4435-2HG, MORRBID	MIR4435-2 host gene (long noncoding RNA MORRBID)		
ANAP1, APC1	Anaphase-promoting complex, subunit 1		
MERTK, RP38	Mer tyrosine kinase protooncogene		Retinitis pigmentosa 38, 613862 (3), Autosomal recessive
TMEM87B	Transmembrane protein 87B		
FBLN7, TM14	Fibulin 7		
BMIQ13	Body mass index quantitative trait locus 13	associated with rs7566605	[Body mass index QTL13], 612459 (2)
CMD1H	Cardiomyopathy, dilated, 1H		Cardiomyopathy, dilated, 1H, 604288 (2)
LCO	Liver cancer oncogene		?Hepatocellular carcinoma (1)
VIS1, HIS1	Viral integration site 1		
RGPD8, RGP8, RANBP2L1	RANBP2-like and GRIP domain-containing protein 8		
TTL	Tubulin-tyrosine ligase		
POLR1B	Polymerase I, RNA, subunit B		
CHCHD5, MIC14	Coiled coil-helix-coiled coil-helix domain-containing protein 5		
SLC20A1, GLVR1	Solute carrier family 20, phosphate transporter, member 1 (Gibbon ape leukemia virus receptor-1)		
CKAP2L, RADMIS	Cytoskeleton-associated protein 2-like		Filippi syndrome, 272440 (3), Autosomal recessive
IL1A	Interleukin-1, alpha	within 430kb of IL1B, IL1RN	
IL1B	Interleukin-1, beta	within 430kb of IL1RN, IL1A	{Gastric cancer risk after H. pylori infection}, 137215 (3), Autosomal dominant
IL37, IL1F7, FIL1Z, IL1H4, IL1RP1	Interleukin 37		
IL36G, IL1F9, IL1H1, IL1RP2	Interleukin 36, gamma		
IL36A, IL1F6, FIL1E	Interleukin 36, alpha		
IL36B, IL1F8, IL1H2, FIL1H	Interleukin 36, beta		
IL36RN, IL1F5, FIL1D, IL1HY1, IL1RP3, PSORP, PSORS14	Interleukin 36 receptor antagonist		Psoriasis 14, pustular, 614204 (3), Autosomal recessive
IL1F10, IL1HY2	Interleukin 1 family, member 10		
IL1RN, MVCD4, DIRA	Interleukin-1 receptor antagonist		{Gastric cancer risk after H. pylori infection}, 137215 (3), Autosomal dominant; Interleukin 1 receptor antagonist deficiency, 612852 (3), Autosomal recessive; {Microvascular complications of diabetes 4}, 612628 (3)
PSD4, EFA6B, TIC	Pleckstrin and Sec7 domains-containing protein 4		
PAX8	Paired box homeotic gene-8		Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia, 218700 (3), Autosomal dominant
CBWD2	Cobalamin synthetase W domain-containing protein 2		
FOXD4L1	Forkhead box D4-like 1		
RABL2A	RAB-like 2A		
ACTR3, ARP3	Actin-related protein 3		
DPP10, DPRP3, KIAA1492	Dipeptidyl peptidase X		
DDX18	DEAD/H box 18		
INSIG2	Insulin-induced gene 2		
EN1	Engrailed-1		
MARCO	Macrophage receptor with collagenous structure		
C1QL2, CTRP10, C1QTNF10	Complement component 1, q subcomponent-like 2		
STEAP3, TSAP6, AHMIO2	STEAP3 metalloreductase	mutation identified in 1 AHMIO2 family	?Anemia, hypochromic microcytic, with iron overload 2, 615234 (3), Autosomal dominant
DBI	Diazepam-binding inhibitor	?on 6q21-qter	
SCTR	Secretin receptor		
PTPN4, PTPMEG1	Protein-tyrosine phosphatase, nonreceptor-type, 4		
EPB41L5, KIAA1548	Erythrocyte membrane protein band 4.1-like 5		
RALB	RAS-like protein B		
INHBB	Inhibin, beta-2		
GLI2, HPE9, CJS	GLI-Kruppel family member GLI2 (oncogene GLI2)		Culler-Jones syndrome, 615849 (3), Autosomal dominant; Holoprosencephaly 9, 610829 (3), Autosomal dominant
TFCP2L1, CRTR1, LBP9	Transcription factor CP2-like 1		
CLASP1, KIAA0622	CLIP-associated protein 1		
RNU4ATAC, U4ATAC, MOPD1, TALS, RFMN	RNA, U4, small nuclear, AT-AC form		Microcephalic osteodysplastic primordial dwarfism, type I, 210710 (3), Autosomal recessive; Roifman syndrome, 616651 (3), Autosomal recessive
DYT21	Dystonia 21		Dystonia 21, 614588 (2), Autosomal dominant
NIFK, MKI67IP, NOPP34	Nucleolar protein interacting with the FHA domain of MKI67		
TSN	Translin		
CNTNAP5, CASPR5	Contactin-associated protein-like 5		
GYPC, GE, GPC	Glycophorin C		[Blood group, Gerbich], 616089 (3); {Malaria, resistance to}, 611162 (3)
BIN1, AMPHL, CNM2	Box-dependent MYC-interacting protein-1 (amphiphysin-like)		Centronuclear myopathy 2, 255200 (3), Autosomal recessive
ERCC3, XPB, TTD2	Excision-repair cross-complementing rodent repair deficiency, complementation group 3		Trichothiodystrophy 2, photosensitive, 616390 (3), Autosomal recessive; Xeroderma pigmentosum, group B, 610651 (3), Autosomal recessive
MAP3K2, MEKK2	Mitogen-activated protein kinase kinase kinase 2		
PROC, PC, THPH3, THPH4	Protein C (inactivator of coagulation factors Va and VIIIa)		Thrombophilia due to protein C deficiency, autosomal dominant, 176860 (3), Autosomal dominant; Thrombophilia due to protein C deficiency, autosomal recessive, 612304 (3), Autosomal recessive
MYO7B	Myosin VIIb		
LIMS2, PINCH2, MDRCMTT	LIM and senescent cell antigen-like domains 2	mutation identified in 1 LGMD2W family	?Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue, 616827 (3), Autosomal recessive
GPR17	G protein-coupled receptor-17		
WDR33, WDC146	WD repeat-containing protein 33		
POLR2D	Polymerase II, RNA, subunit D		
SAP130	Sin3A-associated protein, 130kD		
UGGT1, HUGT1	UDP-glucose glycoprotein glucosyltransferase 1		
HS6ST1, HS6ST, HH15	Heparan sulfate 6-O-sulfotransferase 1		{Hypogonadotropic hypogonadism 15 with or without anosmia}, 614880 (3), Autosomal dominant
ADHD5	Attention deficit-hyperactivity disorder, susceptibility to, 5	max lod at rs985162	{Attention deficit-hyperactivity disorder, susceptibility to, 5}, 612311 (2)
CHDS2	Coronary heart disease, susceptibility to, 2		{Coronary heart disease, susceptibility to, 2}, 608316 (2)
NMTC3	Nonmedullary thyroid carcinoma 3		{Thyroid carcinoma, nonmedullary, 3}, 606240 (2), Autosomal dominant
RAB6C, WTH3	Ras-associated protein RAB6C		
SMPD4, NSMASE3, KIAA1418	Sphingomyelin phosphodiesterase 4, neutral membrane		
FAM128B, MOZART2B	Family with sequence similarity 128, member B		
CCDC115, CCP1, CDG2O	Coiled-coil domain-containing protein 115		Congenital disorder of glycosylation, type IIo, 616828 (3), Autosomal recessive
IMP4, BXDC4	Imp4, S. cerevisiae, homolog of		
PTPN18, BDP1	Protein-tyrosine phosphatase, nonreceptor-type, 18		
CFC1, CRYPTIC, HTX2	Cryptic protein		Heterotaxy, visceral, 2, autosomal, 605376 (3), Autosomal dominant
ARHGEF4, ASEF	RHO guanine nucleotide exchange factor 4		
PLEKHB2, EVT2	Pleckstrin homology domain-containing protein, family B, member 2		
POTEE, POTE2	POTE ankyrin domain family, member E	5 POTE2 genes within 2Mb segment	
FAM128A, MOZART2A	Family with sequence similarity 128, member A		
TUBA3D, KTCN9	Tubulin, alpha-3D		Keratoconus 9, 617928 (3), Autosomal dominant
POTEKP, ACT, ACTBL3, POTEK, FKSG30	POTE ankyrin domain family, member K, pseudogene		
GPR39	G protein-coupled receptor-39		
LYPD1, PHTS	LY6/PLAUR domain-containing protein 1		
NCKAP5, NAP5	NCK-associated protein 5		
MGAT5	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl- glucosaminyltransferase		
CCNT2	Cyclin T2		
RAB3GAP1, WARBM1, P130	RAB3 GTPase-activating protein, catalytic subunit		Warburg micro syndrome 1, 600118 (3), Autosomal recessive
ZRANB3	Zinc finger RANBP2-type domain-containing protein 3		
MIR128-1, MIRN128-1, MIR128A	Micro RNA 128-1		
UBXN4, UBXD2, KIAA2042, ERASIN	UBX domain protein 4		
LCT, LAC, LPH	Lactase (lactase-phlorizin hydrolase)		Lactase deficiency, congenital, 223000 (3), Autosomal recessive
MCM6	Minichromosome maintenance deficient (mis5, S. pombe) 6	mutations in introns 9 and 13	Lactase persistence/nonpersistence, 223100 (3), Autosomal dominant
DARS1, DARS, HBSL, HBSL	Aspartyl tRNA synthetase 1		Hypomyelination with brainstem and spinal cord involvement and leg spasticity, 615281 (3), Autosomal recessive
MAFD5	Major affective disorder 5		{Major affective disorder 5}, 611535 (2)
CXCR4, D2S201E, NPY3R, WHIMS	Chemokine (C-X-C motif) receptor 4 (neuropeptide Y receptor Y3)		Myelokathexis, isolated (3); WHIM syndrome, 193670 (3), Autosomal dominant
HNMT, MRT51	Histamine N-methyltransferase		{Asthma, susceptibility to}, 600807 (3), Autosomal dominant; Mental retardation, autosomal recessive 51, 616739 (3), Autosomal recessive
NXPH2, NPH2	Neuroxophilin 2		
KYNU, KYNUU, VCRL2	Kynureninase	mutation identified in 1 KYNUU family	?Hydroxykynureninuria, 236800 (3), Autosomal recessive; Vertebral, cardiac, renal, and limb defects syndrome 2, 617661 (3), Autosomal recessive
ARHGAP15, BM046	Rho GTPase-activating protein 15		
GTDC1	Glycosyltransferase-like domain containing 1		
ZEB2, ZFHX1B, SMADIP1, SIP1	Zinc finger E box-binding homeobox 2		Mowat-Wilson syndrome, 235730 (3), Autosomal dominant
ACVR2A, ACVR2	Activin A receptor, type IIA		
DFNA16	Deafness, autosomal dominant 16		Deafness, autosomal dominant 16, 603964 (2), Autosomal dominant
DFNB27	Deafness, autosomal recessive 27		Deafness, autosomal recessive 27, 605818 (2), Autosomal recessive
ORC4, ORC4L	Origin recognition complex, subunit 4, S. cerevisiae, homolog of		Meier-Gorlin syndrome 2, 613800 (3), Autosomal recessive
MBD5, KIAA1461, MRD1	Methyl-CpG-binding domain protein 5		Mental retardation, autosomal dominant 1, 156200 (3), Autosomal dominant
EPC2	Enhancer of polycomb, Drosophila, homolog of, 2		
KIF5C, NKHC2, CDCBM2	Kinesin family member 5C		Cortical dysplasia, complex, with other brain malformations 2, 615282 (3), Autosomal dominant
LYPD6	LY6/PLAUR domain-containing protein 6		
C2orf25, MMADHC	Chromosome 2 open reading frame 25		Homocystinuria, cblD type, variant 1, 277410 (3), Autosomal recessive; Methylmalonic aciduria and homocystinuria, cblD type, 277410 (3), Autosomal recessive; Methylmalonic aciduria, cblD type, variant 2, 277410 (3), Autosomal recessive
RND3, RHOE, ARHE	RHO family GTPase 3		
NMI	NMYC interactor	previously assigned to 22q13.3	
TNFAIP6	Tumor necrosis factor, alpha-induced protein-6		
NEB, NEM2	Nebulin		Nemaline myopathy 2, autosomal recessive, 256030 (3), Autosomal recessive
ARL5	ADP-ribosylation factor-like 5		
CACNB4, EJM6, EA5, EIG9	Calcium channel, voltage-dependent, beta 4 subunit		{Epilepsy, idiopathic generalized, susceptibility to, 9}, 607682 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to, 6}, 607682 (3), Autosomal dominant; Episodic ataxia, type 5, 613855 (3), Autosomal dominant
STAM2	Signal-transducing adaptor molecule 2		
FMNL2, KIAA1902	Formin-like 2		
PRPF40A, HYPA, FNBP3, FBP11	Pre-mRNA processing factor 40A		
ARL6IP6, AIP6	ADP-ribosylation factor-like 6-interacting protein 6		
RPRM	Reprimo		
GALNT13, KIAA1918	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13		
FGQTL1	Fasting plasma glucose level QTL 1	associated with rs560887	[Fasting plasma glucose level QTL 1], 612108 (2)
INTLQ2	Intelligence quantitative trait locus 3		{Intelligence QTL3}, 610295 (2)
MMDK, MDK	Mesomelic dysplasia, Kantaputra type		Mesomelic dysplasia, Kantaputra type, 156232 (2), Autosomal dominant
SYNSTH	Synesthesia	max lod at D2S142	Synesthesia, 612759 (2)
KCNJ3, GIRK1	Potassium inwardly-rectifying channel, subfamily J, member 3		
NR4A2, NURR1, NOT, TINUR	Nuclear receptor subfamily 4, group A, member 2		
GPD2	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	pseudogene on 19	{Diabetes, type 2, susceptibility to}, 125853 (3), Autosomal dominant
GALNT5, GALNACT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5		
ERMN, JN, KIAA1189	Ermin		
CYTIP, PSCDBP, HE	Cytohesin 1 interacting protein		
ACVR1C, ALK7	Activin A receptor, type IC		
ACVR1, ACVRLK2, ALK2, FOP	Activin A receptor, type I		Fibrodysplasia ossificans progressiva, 135100 (3), Autosomal dominant
UPP2	Uridine phosphorylase 2		
PKP4	Plakophilin-4		
TANC1, KIAA1728	Tetratricopeptide repeat-, ankyrin repeat-, and coiled-coil-containing protein 1		
BAZ2B	Bromodomain adjacent to zinc finger domain, 2B		
MARCH7	Membrane-associated RING-CH finger protein 7		
CD302, DCL1, KIAA0022	CD302 antigen		
PLA2R1, PLA2R	Phospholipase A2 receptor 1		
ITGB6, AI1H	Integrin, beta-6		Amelogenesis imperfecta, type IH, 616221 (3), Autosomal recessive
RBMS1, MSSP, SCR2	RNA-binding motif protein, single strand-interacting, 1		
TANK, ITRAF	TRAF family member-associated NF-Kappa-B activator		
PSMD14, POH1, PAD1	Proteasome 26S subunit, non-ATPase, 14		
TBR1, IDDAS	T-box, brain, 1		Intellectual developmental disorder with autism and speech delay, 606053 (3), Autosomal dominant
SLC4A10	Solute carrier family 4 (sodium bicarbonate cotransporter-like), member 10		
DPP4, CD26, ADCP2	Dipeptidylpeptidase IV (CD26; adenosine deaminase complexing protein-2)		
GCG	Glucagon		[?Hyperproglucagonemia] (1)
FAP, FAPA	Fibroblast activation protein, alpha subunit		
IFIH1, MDA5, AGS7, SGMRT1	Interferon induced with helicase C domain 1		Aicardi-Goutieres syndrome 7, 615846 (3), Autosomal dominant; Singleton-Merten syndrome 1, 182250 (3), Autosomal dominant
GCA	Grancalcin		
KCNH7, ERG3, HERG3, Kv11.3	Potassium channel, voltage-gated, subfamily H, member 7		
IDDM19	Diabetes mellitus, insulin-dependent, 19	associated with rs1990760	{Diabetes mellitus, insulin-dependent, 19}, 610155 (2)
FIGN	Fidgetin		
GRB14	Growth factor receptor-bound protein 14		
COBLL1, COBLR1, KIAA0977	COBL-like protein 1		
SLC38A11	Solute carrier family 38 (amino acid transporter), member 11		
SCN3A, FFEVF4, EIEE62	Sodium channel, voltage-gated, type III, alpha polypeptide		Epilepsy, familial focal, with variable foci 4, 617935 (3), Autosomal dominant; Epileptic encephalopathy, early infantile, 62, 617938 (3), Autosomal dominant
SCN2A, SCN2A1, BFIC3, EIEE11, BFIS3, BFNIS	Sodium channel, voltage-gated, type II, alpha subunit	4 related genes on chr.2	Epileptic encephalopathy, early infantile, 11, 613721 (3), Autosomal dominant; Seizures, benign familial infantile, 3, 607745 (3), Autosomal dominant
GALNT3, HHS, HFTC1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3		Tumoral calcinosis, hyperphosphatemic, familial, 1, 211900 (3), Autosomal recessive
TTC21B, THM1, NPHP12, SRTD4, ATD4	Tetratricopeptide repeat domain 21B		Nephronophthisis 12, 613820 (3), Autosomal recessive, Autosomal dominant; Short-rib thoracic dysplasia 4 with or without polydactyly, 613819 (3), Autosomal recessive
SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3	Sodium channel, voltage-gated, type I, alpha polypeptide		Epilepsy, generalized, with febrile seizures plus, type 2, 604403 (3), Autosomal dominant; Epileptic encephalopathy, early infantile, 6 (Dravet syndrome), 607208 (3), Autosomal dominant; Febrile seizures, familial, 3A, 604403 (3), Autosomal dominant; Migraine, familial hemiplegic, 3, 609634 (3), Autosomal dominant
