Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
MBD4		Methyl-CpG-binding domain protein 4	
MED1		Methyl-CpG-binding domain protein 4	
IFT122		Intraflagellar transport 122	Cranioectodermal dysplasia 1, 218330 (3), Autosomal recessive
WDR10		Intraflagellar transport 122	Cranioectodermal dysplasia 1, 218330 (3), Autosomal recessive
CED1		Intraflagellar transport 122	Cranioectodermal dysplasia 1, 218330 (3), Autosomal recessive
AD15	max lod at D3S1579	Alzheimer disease 15	{Alzheimer disease-15}, 611155 (2)
DFNA18		Deafness, autosomal dominant 18	Deafness, autosomal dominant 18, 606012 (2), Autosomal dominant
DWS	ZIC1 and ZIC4 good candidate genes	Dandy-Walker syndrome	Dandy-Walker syndrome, 220200 (4), Isolated cases
C3DELq22q24	ZIC1 and ZIC4 good candidate genes	Dandy-Walker syndrome	Dandy-Walker syndrome, 220200 (4), Isolated cases
DEL3q22q24	ZIC1 and ZIC4 good candidate genes	Dandy-Walker syndrome	Dandy-Walker syndrome, 220200 (4), Isolated cases
OTSC5	max lod at D3S1569	Otosclerosis 5	Otosclerosis 5, 608787 (2)
PABPL1		Polyadenylate-binding protein-like 1	
PARK21	conflicting mapping on 20pter-p12	Parkinson disease 21	Parkinson disease 21, 616361 (2), Autosomal dominant
SLSN3	?allelic with NPHP3	Senior-Loken syndrome 3	Senior-Loken syndrome 3, 606995 (2), Autosomal recessive
RHO		Rhodopsin (opsin 2)	Night blindness, congenital stationary, autosomal dominant 1, 610445 (3); Retinitis pigmentosa 4, autosomal dominant or recessive, 613731 (3), Autosomal recessive, Autosomal dominant; Retinitis punctata albescens, 136880 (3), Autosomal recessive, Autosomal dominant
RP4		Rhodopsin (opsin 2)	Night blindness, congenital stationary, autosomal dominant 1, 610445 (3); Retinitis pigmentosa 4, autosomal dominant or recessive, 613731 (3), Autosomal recessive, Autosomal dominant; Retinitis punctata albescens, 136880 (3), Autosomal recessive, Autosomal dominant
OPN2		Rhodopsin (opsin 2)	Night blindness, congenital stationary, autosomal dominant 1, 610445 (3); Retinitis pigmentosa 4, autosomal dominant or recessive, 613731 (3), Autosomal recessive, Autosomal dominant; Retinitis punctata albescens, 136880 (3), Autosomal recessive, Autosomal dominant
CSNBAD1		Rhodopsin (opsin 2)	Night blindness, congenital stationary, autosomal dominant 1, 610445 (3); Retinitis pigmentosa 4, autosomal dominant or recessive, 613731 (3), Autosomal recessive, Autosomal dominant; Retinitis punctata albescens, 136880 (3), Autosomal recessive, Autosomal dominant
PLXND1		Plexin D1	
TMCC1		Transmembrane and coiled-coil domain family 1	
KIAA0779		Transmembrane and coiled-coil domain family 1	
TRH		Thyrotropin-releasing hormone	Thyrotropin-releasing hormone deficiency, 275120 (1), Autosomal recessive
COL6A4P2		Collagen, type VI, alpha-4, pseudogene 2	
COL6A5		Collagen, type VI, alpha-5	
COL29A1		Collagen, type VI, alpha-5	
COL6A6		Collagen, type VI, alpha-6	
PIK3R4		Phosphatidylinositol 3-kinase, regulatory subunit 4	
ATP2C1		ATPase, Ca(2+)-sequestering	Hailey-Hailey disease, 169600 (3), Autosomal dominant
BCPM		ATPase, Ca(2+)-sequestering	Hailey-Hailey disease, 169600 (3), Autosomal dominant
HHD		ATPase, Ca(2+)-sequestering	Hailey-Hailey disease, 169600 (3), Autosomal dominant
NEK11		Never in mitosis gene A-related kinase 11	
NUDT16		Nudix hydrolase 16	
MRPL3		Mitochondrial ribosomal protein L3	Combined oxidative phosphorylation deficiency 9, 614582 (3), Autosomal recessive
MRL3		Mitochondrial ribosomal protein L3	Combined oxidative phosphorylation deficiency 9, 614582 (3), Autosomal recessive
COXPD9		Mitochondrial ribosomal protein L3	Combined oxidative phosphorylation deficiency 9, 614582 (3), Autosomal recessive
CPNE4		Copine IV	
CPN4		Copine IV	
ACPP		Acid phosphatase, prostate	
DNAJC13		DNAJ/HSP40 homolog, subfamily C, member 13	
RME8		DNAJ/HSP40 homolog, subfamily C, member 13	
KIAA0678		DNAJ/HSP40 homolog, subfamily C, member 13	
ACAD11		Acyl-CoA dehydrogenase family, member 11	
ACKR4		Atypical chemokine receptor 4	
CCRL1		Atypical chemokine receptor 4	
PPR1		Atypical chemokine receptor 4	
UBA5	mutation identified in 1 SCAR24 family	Ubiquitin-like modifier activating enzyme 5	Epileptic encephalopathy, early infantile, 44, 617132 (3), Autosomal recessive; ?Spinocerebellar ataxia, autosomal recessive 24, 617133 (3), Autosomal recessive
UBE1DC1	mutation identified in 1 SCAR24 family	Ubiquitin-like modifier activating enzyme 5	Epileptic encephalopathy, early infantile, 44, 617132 (3), Autosomal recessive; ?Spinocerebellar ataxia, autosomal recessive 24, 617133 (3), Autosomal recessive
EIEE44	mutation identified in 1 SCAR24 family	Ubiquitin-like modifier activating enzyme 5	Epileptic encephalopathy, early infantile, 44, 617132 (3), Autosomal recessive; ?Spinocerebellar ataxia, autosomal recessive 24, 617133 (3), Autosomal recessive
SCAR24	mutation identified in 1 SCAR24 family	Ubiquitin-like modifier activating enzyme 5	Epileptic encephalopathy, early infantile, 44, 617132 (3), Autosomal recessive; ?Spinocerebellar ataxia, autosomal recessive 24, 617133 (3), Autosomal recessive
NPHP3		Nephrocystin 3	Meckel syndrome 7, 267010 (3), Autosomal recessive; Nephronophthisis 3, 604387 (3), Autosomal recessive; Renal-hepatic-pancreatic dysplasia 1, 208540 (3), Autosomal recessive
NPH3		Nephrocystin 3	Meckel syndrome 7, 267010 (3), Autosomal recessive; Nephronophthisis 3, 604387 (3), Autosomal recessive; Renal-hepatic-pancreatic dysplasia 1, 208540 (3), Autosomal recessive
RHPD1		Nephrocystin 3	Meckel syndrome 7, 267010 (3), Autosomal recessive; Nephronophthisis 3, 604387 (3), Autosomal recessive; Renal-hepatic-pancreatic dysplasia 1, 208540 (3), Autosomal recessive
MKS7		Nephrocystin 3	Meckel syndrome 7, 267010 (3), Autosomal recessive; Nephronophthisis 3, 604387 (3), Autosomal recessive; Renal-hepatic-pancreatic dysplasia 1, 208540 (3), Autosomal recessive
TMEM108		Transmembrane protein 108	
RTLN		Transmembrane protein 108	
KIAA1690		Transmembrane protein 108	
BFSP2		Beaded filament structural protein 2 (cytoskeletal protein, 49 kD)	Cataract 12, multiple types, 611597 (3), Autosomal dominant
CP49		Beaded filament structural protein 2 (cytoskeletal protein, 49 kD)	Cataract 12, multiple types, 611597 (3), Autosomal dominant
CP47		Beaded filament structural protein 2 (cytoskeletal protein, 49 kD)	Cataract 12, multiple types, 611597 (3), Autosomal dominant
CTRCT12		Beaded filament structural protein 2 (cytoskeletal protein, 49 kD)	Cataract 12, multiple types, 611597 (3), Autosomal dominant
TOPBP1		DNA topoisomerase II-binding protein 1	
KIAA0259		DNA topoisomerase II-binding protein 1	
TF		Transferrin	Atransferrinemia, 209300 (3), Autosomal recessive
TFQTL1		Transferrin	Atransferrinemia, 209300 (3), Autosomal recessive
SRPRB		Signal recognition particle receptor, beta subunit	
APMCF1		Signal recognition particle receptor, beta subunit	
RAB6B		Ras-associated protein RAB6B	
SLCO2A1		Solute carrier organic anion transporter family, member 2A1	Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3), Autosomal recessive
OATP2A1		Solute carrier organic anion transporter family, member 2A1	Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3), Autosomal recessive
PGT		Solute carrier organic anion transporter family, member 2A1	Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3), Autosomal recessive
SLC21A2		Solute carrier organic anion transporter family, member 2A1	Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3), Autosomal recessive
PHOAR2		Solute carrier organic anion transporter family, member 2A1	Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3), Autosomal recessive
RYK		RYK receptor-like tyrosine kinase	
RYK1		RYK receptor-like tyrosine kinase	
AMOTL2		Angiomotin-like 2	
KIAA0989		Angiomotin-like 2	
ANAPC13		Anaphase-promoting complex, subunit 13	
APC13		Anaphase-promoting complex, subunit 13	
SWM1		Anaphase-promoting complex, subunit 13	
CEP63	mutation identified in 1 family	Centrosomal protein, 63kD	?Seckel syndrome 6, 614728 (3), Autosomal recessive
SCKL6	mutation identified in 1 family	Centrosomal protein, 63kD	?Seckel syndrome 6, 614728 (3), Autosomal recessive
EPHB1		eph tyrosine kinase 2 (ephrin receptor EphB1)	
EPHT2		eph tyrosine kinase 2 (ephrin receptor EphB1)	
NET		eph tyrosine kinase 2 (ephrin receptor EphB1)	
KY		Kyphoscoliosis peptidase	Myopathy, myofibrillar, 7, 617114 (3), Autosomal recessive
MFM7		Kyphoscoliosis peptidase	Myopathy, myofibrillar, 7, 617114 (3), Autosomal recessive
PP2R3A		Protein phosphatase 2, regulatory subunit B'', alpha	
PR72		Protein phosphatase 2, regulatory subunit B'', alpha	
PR130		Protein phosphatase 2, regulatory subunit B'', alpha	
MSL2		MSL complex subunit 2	
KIAA1585		MSL complex subunit 2	
PCCB	pccB complementation group	Propionyl Coenzyme A carboxylase, beta polypeptide	Propionicacidemia, 606054 (3), Autosomal recessive
STAG1		Stromal antigen 1	Mental retardation, autosomal dominant 47, 617635 (3), Autosomal dominant
MRD47		Stromal antigen 1	Mental retardation, autosomal dominant 47, 617635 (3), Autosomal dominant
SLC35G2		Solute carrier family 35, member G2	
TMEM22		Solute carrier family 35, member G2	
NCK		Non-catalytic region of tyrosine kinase	
SOX14		SRY-box 14	
DZIP1L		DAZ-interacting zinc finger protein 1-like	Polycystic kidney disease 5, 617610 (3), Autosomal recessive
DZIP2		DAZ-interacting zinc finger protein 1-like	Polycystic kidney disease 5, 617610 (3), Autosomal recessive
PKD5		DAZ-interacting zinc finger protein 1-like	Polycystic kidney disease 5, 617610 (3), Autosomal recessive
A4GNT		Alpha-1,4-N-acetylglucosaminyltransferase	
DBR1		Debranching enzyme 1, S. cerevisiae, homolog of	
ARMC8		Armadillo repeat-containing protein 8	
NME9		NME/NM23 family, member 9	
NXL2		NME/NM23 family, member 9	
TXNDC6		NME/NM23 family, member 9	
MRAS		Muscle Ras viral oncogene homolog	Noonan syndrome 11, 618499 (3), Autosomal dominant
RRAS3		Muscle Ras viral oncogene homolog	Noonan syndrome 11, 618499 (3), Autosomal dominant
NS11		Muscle Ras viral oncogene homolog	Noonan syndrome 11, 618499 (3), Autosomal dominant
ESYT3		Extended synaptotagmin-like protein 3	
FAM62C		Extended synaptotagmin-like protein 3	
CEP70		Centrosomal protein, 70kD	
FAIM		Fax apoptotic inhibitory molecule	
PIK3CB		Phosphatidylinositol 3-kinase, catalytic, beta	
PI3KCB		Phosphatidylinositol 3-kinase, catalytic, beta	
FOXL2		Forkhead transcription factor FOXL2	Blepharophimosis, epicanthus inversus, and ptosis, type 1, 110100 (3), Autosomal dominant; Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 (3), Autosomal dominant; Premature ovarian failure 3, 608996 (3), Autosomal dominant
BPES		Forkhead transcription factor FOXL2	Blepharophimosis, epicanthus inversus, and ptosis, type 1, 110100 (3), Autosomal dominant; Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 (3), Autosomal dominant; Premature ovarian failure 3, 608996 (3), Autosomal dominant
BPES1		Forkhead transcription factor FOXL2	Blepharophimosis, epicanthus inversus, and ptosis, type 1, 110100 (3), Autosomal dominant; Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 (3), Autosomal dominant; Premature ovarian failure 3, 608996 (3), Autosomal dominant
PFRK		Forkhead transcription factor FOXL2	Blepharophimosis, epicanthus inversus, and ptosis, type 1, 110100 (3), Autosomal dominant; Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 (3), Autosomal dominant; Premature ovarian failure 3, 608996 (3), Autosomal dominant
POF3		Forkhead transcription factor FOXL2	Blepharophimosis, epicanthus inversus, and ptosis, type 1, 110100 (3), Autosomal dominant; Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 (3), Autosomal dominant; Premature ovarian failure 3, 608996 (3), Autosomal dominant
STQTL10	associated with rs6440003	Stature quantitative trait locus 10	{Stature QTL 10}, 612221 (2)
MRPS22		Mitochondrial ribosomal protein S22	Combined oxidative phosphorylation deficiency 5, 611719 (3), Autosomal recessive; Ovarian dysgenesis 7, 618117 (3), Autosomal recessive
C3orf5		Mitochondrial ribosomal protein S22	Combined oxidative phosphorylation deficiency 5, 611719 (3), Autosomal recessive; Ovarian dysgenesis 7, 618117 (3), Autosomal recessive
COXPD5		Mitochondrial ribosomal protein S22	Combined oxidative phosphorylation deficiency 5, 611719 (3), Autosomal recessive; Ovarian dysgenesis 7, 618117 (3), Autosomal recessive
ODG7		Mitochondrial ribosomal protein S22	Combined oxidative phosphorylation deficiency 5, 611719 (3), Autosomal recessive; Ovarian dysgenesis 7, 618117 (3), Autosomal recessive
COPB2	mutation identified in 1 MCPH19 family	Coatomer protein complex, subunit beta-2	?Microcephaly 19, primary, autosomal recessive, 617800 (3), Autosomal recessive
MCPH19	mutation identified in 1 MCPH19 family	Coatomer protein complex, subunit beta-2	?Microcephaly 19, primary, autosomal recessive, 617800 (3), Autosomal recessive
RBP2	close to CRBP1	Retinol-binding protein-2, cellular	
CRBP2	close to CRBP1	Retinol-binding protein-2, cellular	
RBP1	close to CRBP2	Retinol-binding protein-1, cellular	
CRBP1	close to CRBP2	Retinol-binding protein-1, cellular	
NMNAT3		Nicotinamide nucleotide adenylyltransferase 3	
PNAT3		Nicotinamide nucleotide adenylyltransferase 3	
CLSTN2		Calsyntenin 2	
SLC25A36		Solute carrier family 25 (mitochondrial carrier, pyrimidine nucleotide transporter), member 36	
PNC2		Solute carrier family 25 (mitochondrial carrier, pyrimidine nucleotide transporter), member 36	
SPSB4		SPRY domain- and SOCS box-containing 4	
SSB4		SPRY domain- and SOCS box-containing 4	
ZBTB38		Zinc finger- and BTB domain-containing protein 38	
RASA2		RAS p21 protein activator 2	
GAP1M		RAS p21 protein activator 2	
RNF7		RING finger protein-7 (regulator of cullins 2; sensitive to apoptosis gene)	
ROC2		RING finger protein-7 (regulator of cullins 2; sensitive to apoptosis gene)	
SAG		RING finger protein-7 (regulator of cullins 2; sensitive to apoptosis gene)	
GRK7		G protein-coupled receptor kinase 7	
GPRK7		G protein-coupled receptor kinase 7	
ATP1B3		ATPase, Na+/K+ transporting, beta 3 polypeptide	
TFDP2		Transcription factor Dp-2 (E2F dimerization partner 2)	
DP2		Transcription factor Dp-2 (E2F dimerization partner 2)	
XRN1		Exoribonuclease 1	
SEP1		Exoribonuclease 1	
ATR	mutation identified in 1 FCTCS family	Ataxia-telangiectasia and Rad3-related (FRAP-related protein-1)	?Cutaneous telangiectasia and cancer syndrome, familial, 614564 (3), Autosomal dominant; Seckel syndrome 1, 210600 (3), Autosomal recessive
FRP1	mutation identified in 1 FCTCS family	Ataxia-telangiectasia and Rad3-related (FRAP-related protein-1)	?Cutaneous telangiectasia and cancer syndrome, familial, 614564 (3), Autosomal dominant; Seckel syndrome 1, 210600 (3), Autosomal recessive
SCKL1	mutation identified in 1 FCTCS family	Ataxia-telangiectasia and Rad3-related (FRAP-related protein-1)	?Cutaneous telangiectasia and cancer syndrome, familial, 614564 (3), Autosomal dominant; Seckel syndrome 1, 210600 (3), Autosomal recessive
FCTCS	mutation identified in 1 FCTCS family	Ataxia-telangiectasia and Rad3-related (FRAP-related protein-1)	?Cutaneous telangiectasia and cancer syndrome, familial, 614564 (3), Autosomal dominant; Seckel syndrome 1, 210600 (3), Autosomal recessive
PLS1		Plastin-1	
TRPC1	also called Htrp-1	Transient receptor potential channel 1	
TRP1	also called Htrp-1	Transient receptor potential channel 1	
PCOLCE2		Procollagen C-endopeptidase enhancer-2	
PAQR9		Progestin and ADIPOQ receptor family, member 9	
U2SURP		U2 small nuclear ribonucleoprotein-associated SURP domain-containing protein	
SR140		U2 small nuclear ribonucleoprotein-associated SURP domain-containing protein	
KIAA0332		U2 small nuclear ribonucleoprotein-associated SURP domain-containing protein	
HDLCQ5	max lod at D3S3053	High density lipoprotein cholesterol level QTL 5	[High density lipoprotein cholesterol level QTL 5], 610761 (2)
UVM1		Melanoma, uveal, susceptibility to, 1	{Melanoma, uveal, susceptibility to, 1}, 606660 (2)
CHST2	mapped by FISH to 7q31	Carbohydrate sulfotransferase-2 (GlcNAc-6-O-sulfotransferase; N-acetylglucosamine-6-O-sulfotransferase)	
SLC9A9	mutation identified in 1 family	Solute carrier family 9 (sodium/hydrogen exchanger), member A9	{?Autism susceptibility 16}, 613410 (3)
AUTS16	mutation identified in 1 family	Solute carrier family 9 (sodium/hydrogen exchanger), member A9	{?Autism susceptibility 16}, 613410 (3)
C3orf58		Chromosome 3 open reading frame 58	
DIA1		Chromosome 3 open reading frame 58	
PLOD2		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	Bruck syndrome 2, 609220 (3), Autosomal recessive
LH2		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	Bruck syndrome 2, 609220 (3), Autosomal recessive
TLH		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	Bruck syndrome 2, 609220 (3), Autosomal recessive
BRKS2		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	Bruck syndrome 2, 609220 (3), Autosomal recessive
PLSCR4		Phospholipid scramblase 4	
PLSCR2		Phospholipid scramblase 2	
PLSCR1		Phospholipid scramblase 1	
MMTRA1B		Phospholipid scramblase 1	
ZIC4		Zic family, member 4	
ZIC1		Zic family, member 1	Craniosynostosis 6, 616602 (3), Autosomal dominant
CRS6		Zic family, member 1	Craniosynostosis 6, 616602 (3), Autosomal dominant
AGTR1		Angiotensin receptor 1	{Hypertension, essential}, 145500 (3), Multifactorial; Renal tubular dysgenesis, 267430 (3), Autosomal recessive
AGTR1A		Angiotensin receptor 1	{Hypertension, essential}, 145500 (3), Multifactorial; Renal tubular dysgenesis, 267430 (3), Autosomal recessive
AT2R1		Angiotensin receptor 1	{Hypertension, essential}, 145500 (3), Multifactorial; Renal tubular dysgenesis, 267430 (3), Autosomal recessive
CPB1		Carboxypeptidase B1, tissue	
PCPB		Carboxypeptidase B1, tissue	
PASP		Carboxypeptidase B1, tissue	
CPA3		Carboxypeptidase A3, mast cell	
GYG1	mutation identified in 1 GSD15 patient	Glycogenin 1	?Glycogen storage disease XV, 613507 (3), Autosomal recessive; Polyglucosan body myopathy 2, 616199 (3), Autosomal recessive
GSD15	mutation identified in 1 GSD15 patient	Glycogenin 1	?Glycogen storage disease XV, 613507 (3), Autosomal recessive; Polyglucosan body myopathy 2, 616199 (3), Autosomal recessive
SMARCA3		SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3	
SNF2L3		SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3	
HIP116		SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3	
HPS3		HPS gene 3	Hermansky-Pudlak syndrome 3, 614072 (3), Autosomal recessive
CP	~15cM from TF	Ceruloplasmin	Cerebellar ataxia, 604290 (3), Autosomal recessive; Hemosiderosis, systemic, due to aceruloplasminemia, 604290 (3), Autosomal recessive; [Hypoceruloplasminemia, hereditary], 604290 (3), Autosomal recessive
ASPG1	max lod with D3S3037	Asperger syndrome, susceptibility to, 1	{Asperger syndrome susceptibility 1}, 608638 (2), Isolated cases, Multifactorial
AUTS8		Autism, susceptibility to, 8	{Autism susceptibility 8}, 607373 (2), Isolated cases, Multifactorial
CELIAC10	associated with rs17810546	Celiac disease, susceptibility to, 10	{Celiac disease, susceptibility to, 10}, 612008 (2)
ETL6	between D3S1584 and D3S3520	Epilepsy, familial temporal lobe, 6	Epilepsy, familial temporal lobe, 6, 615697 (2), Autosomal dominant
TM4SF1		Transmembrane-4 superfamily, member 1	
M3S1		Transmembrane-4 superfamily, member 1	
TAAL6		Transmembrane-4 superfamily, member 1	
TM4SF4		Transmembrane 4 superfamily, member 4	
ILTMP		Transmembrane 4 superfamily, member 4	
WWTR1		WW domain-containing transcription regulator 1	
TAZ		WW domain-containing transcription regulator 1	
COMMD2		COMM domain-containing protein 2	
RNF13		RING finger protein 13	Epileptic encephalopathy, early infantile, 73, 618379 (3), Autosomal dominant
EIEE73		RING finger protein 13	Epileptic encephalopathy, early infantile, 73, 618379 (3), Autosomal dominant
PFN2	mapped previously to chr.1	Profilin-2	
PFL	mapped previously to chr.1	Profilin-2	
D3S1319E	mapped previously to chr.1	Profilin-2	
TMEM183B		Transmembrane protein 183B	
C1orf37DUP		Transmembrane protein 183B	
TSC22D2		TSC22 domain family, member 2	
KIAA0669		TSC22 domain family, member 2	
SERP1		Stress-associated endoplasmic reticulum protein 1	
RAMP4		Stress-associated endoplasmic reticulum protein 1	
EIF2A		Eukaryotic translation initiation factor 2A	
SELENOT		Selenoprotein T	
SELT		Selenoprotein T	
SIAH2		Seven in absentia, Drosophila, homolog of, 2	
CLRN1	frequent in Finland; ?digenic interaction with MYO7A	Clarin 1	Retinitis pigmentosa 61, 614180 (3); Usher syndrome, type 3A, 276902 (3), Autosomal recessive
USH3A	frequent in Finland; ?digenic interaction with MYO7A	Clarin 1	Retinitis pigmentosa 61, 614180 (3); Usher syndrome, type 3A, 276902 (3), Autosomal recessive
USH3	frequent in Finland; ?digenic interaction with MYO7A	Clarin 1	Retinitis pigmentosa 61, 614180 (3); Usher syndrome, type 3A, 276902 (3), Autosomal recessive
RP61	frequent in Finland; ?digenic interaction with MYO7A	Clarin 1	Retinitis pigmentosa 61, 614180 (3); Usher syndrome, type 3A, 276902 (3), Autosomal recessive
MED12L		Mediator complex subunit 12-like	
NOPAR		Mediator complex subunit 12-like	
KIAA1635		Mediator complex subunit 12-like	
P2RY14		Purinergic receptor P2Y, G protein-coupled, 14	
BPR105		Purinergic receptor P2Y, G protein-coupled, 14	
KIAA0001		Purinergic receptor P2Y, G protein-coupled, 14	
GPR87		G protein-coupled receptor 87	
P2RY13		Purinergic receptor P2Y13	
GPR86		Purinergic receptor P2Y13	
P2RY12		Purinergic receptor P2Y, G protein-coupled, 12	Bleeding disorder, platelet-type, 8, 609821 (3), Autosomal recessive
P2Y12		Purinergic receptor P2Y, G protein-coupled, 12	Bleeding disorder, platelet-type, 8, 609821 (3), Autosomal recessive
BDPLT8		Purinergic receptor P2Y, G protein-coupled, 12	Bleeding disorder, platelet-type, 8, 609821 (3), Autosomal recessive
IGSF10		Immunoglobulin superfamily, member 10	
AADAC		Arylacetamide deacetylase (esterase)	
DAC		Arylacetamide deacetylase (esterase)	
SUCNR1		Succinate receptor 1	
GPR91		Succinate receptor 1	
MBNL1		Muscleblind-like protein	
KIAA0428		Muscleblind-like protein	
EXP		Muscleblind-like protein	
P2RY1		Purinergic receptor P2Y, G-protein coupled, 1	
P2Y1		Purinergic receptor P2Y, G-protein coupled, 1	
RAP2B		Ras-related protein 2B	
ARHGEF26		Rho guanine nucleotide exchange factor 26	
SGEF		Rho guanine nucleotide exchange factor 26	
DHX36		DEAH (Asp-Glu-Ala-His) box polypeptide 36	
G4R1		DEAH (Asp-Glu-Ala-His) box polypeptide 36	
RHAU		DEAH (Asp-Glu-Ala-His) box polypeptide 36	
KIAA1488		DEAH (Asp-Glu-Ala-His) box polypeptide 36	
MME	mutation identified in 1 SCA43 family	Membrane metallo-endopeptidase (common acute lymphocytic leukemia antigen)	Charcot-Marie-Tooth disease, axonal, type 2T, 617017 (3), Autosomal recessive, Autosomal dominant; ?Spinocerebellar ataxia 43, 617018 (3), Autosomal dominant
CD10	mutation identified in 1 SCA43 family	Membrane metallo-endopeptidase (common acute lymphocytic leukemia antigen)	Charcot-Marie-Tooth disease, axonal, type 2T, 617017 (3), Autosomal recessive, Autosomal dominant; ?Spinocerebellar ataxia 43, 617018 (3), Autosomal dominant
CALLA	mutation identified in 1 SCA43 family	Membrane metallo-endopeptidase (common acute lymphocytic leukemia antigen)	Charcot-Marie-Tooth disease, axonal, type 2T, 617017 (3), Autosomal recessive, Autosomal dominant; ?Spinocerebellar ataxia 43, 617018 (3), Autosomal dominant
NEP	mutation identified in 1 SCA43 family	Membrane metallo-endopeptidase (common acute lymphocytic leukemia antigen)	Charcot-Marie-Tooth disease, axonal, type 2T, 617017 (3), Autosomal recessive, Autosomal dominant; ?Spinocerebellar ataxia 43, 617018 (3), Autosomal dominant
CMT2T	mutation identified in 1 SCA43 family	Membrane metallo-endopeptidase (common acute lymphocytic leukemia antigen)	Charcot-Marie-Tooth disease, axonal, type 2T, 617017 (3), Autosomal recessive, Autosomal dominant; ?Spinocerebellar ataxia 43, 617018 (3), Autosomal dominant
SCA43	mutation identified in 1 SCA43 family	Membrane metallo-endopeptidase (common acute lymphocytic leukemia antigen)	Charcot-Marie-Tooth disease, axonal, type 2T, 617017 (3), Autosomal recessive, Autosomal dominant; ?Spinocerebellar ataxia 43, 617018 (3), Autosomal dominant
DWORF		Dwarf open reading frame	
LOC100507537		Dwarf open reading frame	
BWQTL2	associated with rs900400	Birth weight quantitative trait locus 2	[Birth weight QTL 2], 613459 (2)
PLCH1		Phospholipase C, eta-1	
PLCL3		Phospholipase C, eta-1	
KIAA1069		Phospholipase C, eta-1	
SLC33A1		Solute carrier family 33 (acetyl-CoA transporter), member 1	Congenital cataracts, hearing loss, and neurodegeneration, 614482 (3), Autosomal recessive; Spastic paraplegia 42, autosomal dominant, 612539 (3), Autosomal dominant
ACATN		Solute carrier family 33 (acetyl-CoA transporter), member 1	Congenital cataracts, hearing loss, and neurodegeneration, 614482 (3), Autosomal recessive; Spastic paraplegia 42, autosomal dominant, 612539 (3), Autosomal dominant
AT1		Solute carrier family 33 (acetyl-CoA transporter), member 1	Congenital cataracts, hearing loss, and neurodegeneration, 614482 (3), Autosomal recessive; Spastic paraplegia 42, autosomal dominant, 612539 (3), Autosomal dominant
SPG42		Solute carrier family 33 (acetyl-CoA transporter), member 1	Congenital cataracts, hearing loss, and neurodegeneration, 614482 (3), Autosomal recessive; Spastic paraplegia 42, autosomal dominant, 612539 (3), Autosomal dominant
CCHLND		Solute carrier family 33 (acetyl-CoA transporter), member 1	Congenital cataracts, hearing loss, and neurodegeneration, 614482 (3), Autosomal recessive; Spastic paraplegia 42, autosomal dominant, 612539 (3), Autosomal dominant
GMPS	fusion gene with MLL in AML	Guanine monophosphate synthetase	
KCNAB1		Potassium voltage-gated channel, shaker-related subfamily, beta member 1	
KCNA1B		Potassium voltage-gated channel, shaker-related subfamily, beta member 1	
SSR3		Signal sequence receptor, gamma	
TRAPG		Signal sequence receptor, gamma	
TIPARP		TCDD-inducible poly(ADP-ribose) polymerase	
LEKR1		Leucine-, glutamate-, and lysine-rich protein 1	
CCNL1		Cyclin L1	
ANIA6A		Cyclin L1	
VEPH1		Ventricular zone-expressed PH domain-containing protein, zebrafish, homolog of, 1	
MELT		Ventricular zone-expressed PH domain-containing protein, zebrafish, homolog of, 1	
KIAA1692		Ventricular zone-expressed PH domain-containing protein, zebrafish, homolog of, 1	
PTX3		Pentraxin-3	
SHOX2		Short stature homeo box 2	
SHOT		Short stature homeo box 2	
OG12		Short stature homeo box 2	
RSRC1		Arginine/serine-rich coiled-coil protein 1	Intellectual developmental disorder, autosomal recessive 70, 618402 (3), Autosomal recessive
SRRP53		Arginine/serine-rich coiled-coil protein 1	Intellectual developmental disorder, autosomal recessive 70, 618402 (3), Autosomal recessive
MRT70		Arginine/serine-rich coiled-coil protein 1	Intellectual developmental disorder, autosomal recessive 70, 618402 (3), Autosomal recessive
MLF1		Myeloid leukemia factor-1	Leukemia, acute myeloid, 601626 (1), Autosomal dominant, Somatic mutation
GFM1		Mitochondrial elongation factor G1	Combined oxidative phosphorylation deficiency 1, 609060 (3), Autosomal recessive
